"rnp","name","regNumber","baseport","company","date","speed","direction","overall_EM_beh","year","month","Name","Description","lon_bin","lat_bin"
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-06 13:15:00,6.950323974,208,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-113.9052167,20.00793333
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-06 14:15:00,6.081533477,210,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-113.9703,19.92255
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-06 15:15:00,6.081533477,211,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-114.0337333,19.83923333
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-06 16:15:00,6.081533477,218,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-114.0979167,19.75481667
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-06 17:15:00,5.212742981,212,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-114.15895,19.67441667
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-06 18:15:00,6.081533477,220,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-114.2233,19.59965
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-06 19:15:00,5.212742981,227,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-114.2920667,19.52501667
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-06 20:15:00,6.950323974,217,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-114.3671333,19.44336667
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-06 21:15:00,6.081533477,218,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-114.4441167,19.35958333
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-06 22:15:00,6.950323974,219,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-114.5193667,19.2775
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-06 23:15:00,6.081533477,222,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-114.5893667,19.20111667
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 00:15:00,6.081533477,226,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-114.65975,19.12416667
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 01:15:00,6.081533477,227,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-114.73205,19.04505
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 02:15:00,6.081533477,222,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-114.80245,18.9679
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 03:15:00,6.081533477,220,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-114.8738,18.88958333
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 04:15:00,6.081533477,223,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-114.9460667,18.81018333
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 05:15:00,0.868790497,326,"hauling",2018,1,"Archipelago de Revillagigedo","",-114.9725667,18.76976667
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 06:15:00,0.868790497,176,"hauling",2018,1,"Archipelago de Revillagigedo","",-114.9671833,18.76218333
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 07:15:00,0,147,"hauling",2018,1,"Archipelago de Revillagigedo","",-114.96345,18.75413333
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 08:15:00,0,162,"hauling",2018,1,"Archipelago de Revillagigedo","",-114.9589833,18.74685
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 09:15:00,0.868790497,173,"hauling",2018,1,"Archipelago de Revillagigedo","",-114.95255,18.73721667
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 10:15:00,0,0,"hauling",2018,1,"Archipelago de Revillagigedo","",-114.9461833,18.72891667
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 11:15:00,0,0,"hauling",2018,1,"Archipelago de Revillagigedo","",-114.9421667,18.71893333
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 12:15:00,0.868790497,174,"hauling",2018,1,"Archipelago de Revillagigedo","",-114.9392833,18.70983333
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 13:15:00,0.868790497,118,"hauling",2018,1,"Archipelago de Revillagigedo","",-114.9371167,18.70001667
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 14:15:00,6.081533477,237,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-114.9655,18.67671667
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 15:15:00,5.212742981,244,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-115.05435,18.62458333
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 16:15:00,6.081533477,200,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-115.1285167,18.55893333
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 17:15:00,6.081533477,198,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-115.1692,18.45803333
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 18:15:00,6.950323974,201,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-115.2099,18.35696667
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 19:15:00,6.950323974,201,"not_hauling",2018,1,"Archipelago de Revillagigedo","",-115.2530667,18.24966667
16139,"PROPEMEX Y-5-A","2503056923-7","MAZATLAN  SIN.","PESCA GAGUI, S.A. DE C.V.",2018-01-07 20:15:00,0.868790497,239,"hauling",2018,1,"Archipelago de Revillagigedo","",-115.2878,18.16796667
